page,bill_month,bill_date,due_date,service_no,van_id,category,cons_kwh,cons_kvah,cons_kva,cons_pf,demand_normal,energy_charges,elec_duty,fppca,tod_charges,sub_total,customer_charges,total,net_bill,net_payable,chain_ok,doc_type
157,10/2025,04-11-2025,18-Nov-2025,VSP1154,APEPDC0100003106,IIA(I),370250.0,381900.0,2216.7,0.97,1052932.5,2202455.0,18315.0,339284.93,73050.0,3686037.43,,3688850.43,3688850.0,3688850.0,False,HT_BILL
158,,,,VSP-1154,,,,,,,,2654205.0,22215.0,365284.93,73050.0,,2813.0,,4170500.43,4170500.0,,sparse_bill
159,,,,,,,,,,,,,,,,,,,,,,OTHER
160,11/2025,05-12-2025,19-Dec-2025,VSP007,APEPDC0100000626,,661700.0,701400.0,1828.4,0.94,950000.0,4317660.0,31482.0,-63492.7,130400.0,5366049.3,1406.0,5367455.3,5367455.0,3250546.0,False,HT_BILL
161,11/2025,05-12-2025,19-Dec-2025,VSP098,APEPDC0100000558,IB,68880.0,72092.0,316.22,0.96,23716.5,455644.0,3712.8,-2300.16,0.0,480773.14,1406.0,482179.14,482179.0,494483.0,True,HT_BILL
162,11/2025,05-12-2025,19-Dec-2025,VSP212,APEPDC0100000391,,34532.0,38807.0,135.24,0.89,228000.0,262111.95,1831.92,7207.93,7161.0,506312.8,1406.0,515218.8,515219.0,353498.0,True,HT_BILL
163,11/2025,05-12-2025,19-Dec-2025,VSP361,APEPDC0100000508,IB,20501.0,22103.0,292.61,60.0,21945.75,98721.0,750.06,-38736.0,0.0,82680.81,1406.0,84086.81,84087.0,295393.0,True,HT_BILL
164,11/2025,05-12-2025,19-Dec-2025,VSP127,APEPDC0100000334,,,,,,76000.0,179109.45,1324.14,-15401.98,5499.0,246530.61,1406.0,247936.61,247937.0,191986.0,True,HT_BILL
165,11/2025,04-12-2025,18-Dec-2025,VSP1375,APEPDC0100003730,IIB,13570.0,16710.0,72.0,0.81,0.0,204697.5,814.2,12345.43,0.0,217857.13,2813.0,470670.13,470670.0,470670.0,True,HT_BILL
166,11/2025,05-12-2025,19-Dec-2025,VSP009,APEPDC0100000627,,18831.0,19336.0,107.0,0.97,144400.0,102020.4,769.86,1212.85,4628.0,253031.11,1406.0,254437.11,254437.0,208046.0,False,HT_BILL
167,11/2025,05-12-2025,19-Dec-2025,VSP309,APEPDC0100001933,IIA(I),20423.0,24619.0,74.42,0.83,133000.0,142435.35,865.38,1865.79,4988.0,283154.52,1406.0,284560.52,284561.0,184618.0,True,HT_BILL
168,11/2025,02-12-2025,16-Dec-2025,VSP508,APEPDC0100000227,IIIA,11696.0,13895.0,70.7495,0.84,33250.0,87538.5,701.76,8988.93,3891.0,129775.96,1406.0,131732.52,131733.0,131733.0,True,HT_BILL
169,11/2025,05-12-2025,19-Dec-2025,VSP1655,APEPDC0100004450,,,,,,65915.75,352657.35,2478.54,-540.97,13933.0,434443.67,1406.0,435849.67,435850.0,,True,HT_BILL
170,11/2025,05-12-2025,19-Dec-2025,VSP1718,APEPDC0100004656,,,,,,76000.0,339040.35,1480.2,778.65,10926.0,428225.2,1406.0,429692.4,429692.0,338605.0,False,HT_BILL
171,11/2025,05-12-2025,19-Dec-2025,VSP1720,APEPDC0100004657,IIA(i),50265.0,54865.0,208.0,0.92,152000.0,366167.25,2595.9,-69941.45,12761.0,463582.7,1406.0,464988.7,464989.0,279686.0,False,HT_BILL
172,11/2025,05-12-2025,19-Dec-2025,VSP1154,APEPDC0100003106,,394000.0,405150.0,2335.5,0.97,1109362.5,2364042.5,19740.0,304664.96,63850.0,3861659.96,2813.0,3864472.96,3864473.0,1516166.0,False,HT_BILL
173,,,,VSP-1154,,,,,,,,2815792.5,23640.0,330664.96,63850.0,,2813.0,,4346122.96,4346123.0,,sparse_bill
174,,,,,,,,,,,,,,,,,,,,,,OTHER
175,12/2025,03-01-2026,17-Jan-2026,VSP007,APEPDC0100000626,IIA(I),674500.0,735800.0,1824.3,0.92,950000.0,4580820.0,32250.0,665406.32,143700.0,6372176.32,1406.0,6373582.32,6373582.0,6373582.0,True,HT_BILL
176,12/2025,03-01-2026,17-Jan-2026,VSP098,APEPDC0100000558,IB,23334.0,30186.0,85.83,0.77,6437.25,162302.0,980.04,85876.12,0.0,255595.41,1406.0,257001.41,257001.0,257001.0,True,HT_BILL
177,12/2025,03-01-2026,17-Jan-2026,VSP212,APEPDC0100000391,,20631.0,24219.0,70.11,0.85,228000.0,139696.65,997.86,19422.63,4631.0,392748.14,1406.0,401654.14,401654.0,401654.0,True,HT_BILL
178,12/2025,03-01-2026,17-Jan-2026,VSP361,APEPDC0100000508,IB,67329.0,70467.0,286.19,0.96,21464.25,416269.0,3379.74,76745.87,0.0,517858.86,1406.0,19264.86,,519265.0,False,HT_BILL
179,12/2025,03-01-2026,17-Jan-2026,VSP127,APEPDC0100000334,IIA(i),36815.0,38720.0,131.2,0.95,76000.0,242658.0,1788.9,37296.53,6174.0,363917.43,1406.0,367501.46,367501.0,367501.0,True,HT_BILL
180,12/2025,03-01-2026,17-Jan-2026,VSP1375,APEPDC0100003730,IIB,12870.0,16100.0,66.0,0.8,0.0,197225.0,772.2,13228.51,0.0,211225.71,2813.0,464589.66,,464590.0,True,HT_BILL
181,12/2025,03-01-2026,17-Jan-2026,VSP009,APEPDC0100000627,IIA(I),18860.0,19179.0,87.09,0.98,144400.0,400819.35,771.6,23416.55,485100.0,274258.5,1406.0,276214.5,276215.0,276215.0,False,HT_BILL
182,12/2025,03-01-2026,17-Jan-2026,VSP309,APEPDC0100001933,IIA(I),19328.0,23355.0,75.2,0.83,133000.0,132765.75,799.68,23725.06,4981.0,295271.49,1406.0,,,296677.0,False,HT_BILL
183,12/2025,01-01-2026,15-Jan-2026,VSP508,APEPDC0100000227,IIIA,,,,,33192.05,78617.7,627.24,11931.53,2480.0,121090.77,1406.0,123047.92,123048.0,123048.0,False,HT_BILL
184,12/2025,03-01-2026,17-Jan-2026,VSP1655,APEPDC0100004450,IIA(I),,,,,66177.0,387441.9,2723.16,41258.88,15132.0,512732.94,1406.0,514690.5,514691.0,514691.0,True,HT_BILL
185,12/2025,03-01-2026,17-Jan-2026,VSP1718,APEPDC0100004656,IIA(I),35045.0,53635.0,100.06,0.65,76000.0,326157.75,1442.7,46325.5,11119.0,61044.95,1406.0,465676.96,465677.0,465677.0,False,HT_BILL
186,12/2025,03-01-2026,17-Jan-2026,VSP1720,APEPDC0100004657,,,,,,52000.0,604724.85,4692.48,48182.36,19085.0,828684.69,1406.0,830642.01,,830642.0,False,HT_BILL
187,12/2025,03-01-2026,17-Jan-2026,VSP1154,APEPDC0100003106,,263500.0,271700.0,2258.1,0.97,1072597.5,1436565.0,11910.0,477659.92,48200.0,3046932.42,2813.0,3049745.42,,3049745.0,False,HT_BILL
188,,,,VSP-1154,,,,,,,,1888315.0,15810.0,503659.92,48200.0,,2813.0,,3531395.42,3531395.0,,sparse_bill
189,,,,,,,,,,,,,,,,,,,,,,OTHER
